metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
46,2+kk,E,Ve velmi dobrém stavu,praha 7,10200000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-simackova/2174485068
348,4+kk,B,Novostavba,praha 5,39900000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-na-pomezi/4043899468
71,3+kk,C,V dobrém stavu,stredni-cechy,6900000,https://www.sreality.cz/detail/prodej/byt/3+kk/klecany-klecany-v-honech/2240479820
125,5+kk,G,Ve velmi dobrém stavu,praha 1,21690000,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-stare-mesto-u-obecniho-dvora/1784943180
112,3+kk,B,Ve velmi dobrém stavu,praha 6,21500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dejvice-na-cihadle/2313556556
75,3+kk,D,V dobrém stavu,praha 2,13200000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-sokolska/381956684
50,1+kk,G,Ve velmi dobrém stavu,praha 8,8500000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-krizikova/2562986572
78,3+kk,B,Novostavba,stredni-cechy,8740000,https://www.sreality.cz/detail/prodej/byt/3+kk/mukarov-mukarov-spojovaci/1142977868
72,3+kk,B,Novostavba,stredni-cechy,7998000,https://www.sreality.cz/detail/prodej/byt/3+kk/slapy-slapy-/3163492940
59,3+kk,B,Novostavba,praha 4,10690000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-ceskoslovenskeho-exilu/3738239564
59,2+kk,B,Novostavba,praha 4,8700000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-ceskoslovenskeho-exilu/194773580
148,3+kk,G,Ve velmi dobrém stavu,praha 8,20000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-krizikova/2483954252
41,1+kk,B,Ve velmi dobrém stavu,praha 10,6390000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vrsovice-petrohradska/96797260
117,3+kk,G,Ve velmi dobrém stavu,praha 1,29000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-mala-strana-vlasska/3676115532
106,3+kk,C,Ve velmi dobrém stavu,praha 10,14490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-na-pliskave/2745774668
26,1+kk,C,V dobrém stavu,praha 4,3700000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-podoli-u-kublova/3438899788
168,4+kk,B,Ve velmi dobrém stavu,praha 4,24000000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-modrany-na-srazku/2527003212
162,3+kk,G,Ve velmi dobrém stavu,praha 1,21960000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-kremencova/3924456012
48,2+kk,C,Ve velmi dobrém stavu,praha 10,6850000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-mecholupy-kryspinova/2760311372
124,2+kk,B,Novostavba,praha 9,12753587,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-pod-krocinkou/3564950092
100,4+kk,B,Novostavba,stredni-cechy,7990000,https://www.sreality.cz/detail/prodej/byt/4+kk/nymburk-drahelice-/2558948684
93,3+kk,B,Novostavba,praha 4,12490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-/358580812
103,3+kk,G,Novostavba,praha 3,15500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-kalisnicka/4092523084
68,2+kk,B,Novostavba,praha 9,10600082,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-ke-klicovu/3027149388
83,3+kk,C,Ve velmi dobrém stavu,praha 5,11454000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-na-farkane-iii/834998860
70,2+kk,B,Novostavba,praha 9,10395930,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-pod-krocinkou/1164878412
24,1+kk,D,Po rekonstrukci,praha 5,4000000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-jinonice-peroutkova/3357225548
98,3+kk,B,Ve velmi dobrém stavu,praha 3,14990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-zverinova/3914474060
73,3+kk,B,Novostavba,praha 9,11299000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dolni-pocernice-cernodolska/2558116428
48,2+kk,G,Novostavba,praha 9,7700000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-hluckova/2482689356
56,3+kk,G,Novostavba,stredni-cechy,6199000,https://www.sreality.cz/detail/prodej/byt/3+kk/beroun-beroun-mesto-vinarska/4067430988
109,3+kk,G,Ve velmi dobrém stavu,praha 2,19692000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-varsavska/127382092
51,1+kk,G,Novostavba,praha 4,5890000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-modrany-/4216525388
55,2+kk,G,Novostavba,praha 4,7990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-/3575845452
46,2+kk,G,V dobrém stavu,stredni-cechy,2995000,https://www.sreality.cz/detail/prodej/byt/2+kk/nizbor-nizbor-krivoklatska/1602843212
25,1+kk,C,Po rekonstrukci,praha 10,4400000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vrsovice-kubanske-namesti/825102924
27,1+kk,F,Po rekonstrukci,praha 6,6526740,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-liboc-jenecska/3995910732
173,3+kk,G,Novostavba,praha 4,12490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-/69407308
89,3+kk,G,Ve velmi dobrém stavu,praha 10,12950000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zabehlice-zabehlicka/3618161228
104,3+kk,G,Novostavba,praha 9,19990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hrdlorezy-v-tresnovce/2155799116
44,2+kk,B,Novostavba,praha 9,6499000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hostavice-pasecka/3891851852
49,2+kk,C,Novostavba,praha 10,5990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-kubanske-namesti/4004246092
53,2+kk,B,Ve velmi dobrém stavu,praha 9,7950000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-cerpadlova/628167244
34,2+kk,F,Po rekonstrukci,praha 6,7561400,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liboc-jenecska/2116862540
95,3+kk,C,Ve velmi dobrém stavu,praha 6,19500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-belohorska/2897805900
126,4+kk,B,Novostavba,praha 3,14990000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-olgy-havlove/1361764940
47,2+kk,C,Ve velmi dobrém stavu,praha 10,5990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-horni-mecholupy-bolonska/3776778828
89,3+kk,D,Po rekonstrukci,praha 1,23900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-opletalova/4202893900
59,2+kk,E,Po rekonstrukci,praha 4,8824150,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-modrany-k-vltave/2892091980
66,2+kk,D,Po rekonstrukci,praha 1,14500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-opletalova/3045134924
53,1+kk,G,V dobrém stavu,praha 2,10990000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-balbinova/176362060
125,3+kk,C,Ve velmi dobrém stavu,praha 4,18850000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-michle-baarova/1879773772
77,3+kk,B,Novostavba,praha 10,12490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-trebohosticka/2002457164
98,3+kk,G,V dobrém stavu,praha 3,15900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-kolinska/104079948
128,4+kk,C,Po rekonstrukci,praha 10,19800000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zabehlice-pred-skalkami-i/2939949644
71,3+kk,D,Ve velmi dobrém stavu,praha 5,9900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-tetinska/1485447756
43,1+kk,C,Ve velmi dobrém stavu,praha 3,6500000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-jezkova/1046217292
72,2+kk,G,Ve velmi dobrém stavu,praha 6,11900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dejvice-patanka/2825720396
82,2+kk,C,Ve velmi dobrém stavu,praha 4,8900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nusle-na-pankraci/1912545868
66,3+kk,B,Novostavba,praha 5,10900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/4275843660
76,2+kk,C,Ve velmi dobrém stavu,praha 3,12500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-slavikova/2752762444
100,3+kk,C,V dobrém stavu,praha 10,12490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-horni-mecholupy-hornomecholupska/684773964
164,4+kk,C,Po rekonstrukci,praha 10,21400000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zabehlice-pred-skalkami-i/1815876172
30,1+kk,C,Ve velmi dobrém stavu,praha 9,4550000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vysocany-vysocanske-namesti/3787702860
69,2+kk,B,Novostavba,stredni-cechy,7990000,https://www.sreality.cz/detail/prodej/byt/2+kk/vysoky-ujezd-vysoky-ujezd-ke-kuchari/3109356108
85,3+kk,B,Novostavba,stredni-cechy,9990000,https://www.sreality.cz/detail/prodej/byt/3+kk/vysoky-ujezd-vysoky-ujezd-ke-kuchari/2755347788
41,2+kk,G,Po rekonstrukci,stredni-cechy,3990000,https://www.sreality.cz/detail/prodej/byt/2+kk/smecno-smecno-kacicka/144294476
